title: Message Manager Application Type x-reference
body: Ccurrently used JID

CID| Application Name| JID  
ppcu| Monthly| ms2  
ppcu| HELOC| me1  
prcu| Monthly| ms3  
prcu| VIP| me1  
prcu| HELOC| me3  
prcu| Mortgage| ml1  
prov| DDA| ms1  
prov| Loan Bill| ml1  
prov| Reg E| ms4  
prov| CML Loan| ml4  
prov| IRA| ms3  
prov| LOC| ml3  
prov| Reg Z| ml5  
prov| SAVINGS| ms2  
pscu| Credit_Card| mv2  
pscu| Monthly| ms1  
rabo| DDA-385| ms1  
rabo| BMS DDA - 393| ms7  
rwcu| Visa| mv1  
rwcu| Monthly| ms1  
sacu| Monthly| ms1  
sana| Monthly| ds1  
sana| Credit_Card| mv1  
sana| LOC| loc  
sana| IRA| qs1  
secu| Monthly| ms1  
sefc| DNA Monthly| ms2  
sefc| Mortgage| ml1  
sefc| Home Equity| ml3  
sfce| Monthly| ms5  
shel| Monthly| ms1  
slcu| Visa| mv1  
slcu| Visa Duet| mv4  
slcu| Monthly| ms1  
sncu| Monthly| ms1  
snfb| DDA| ms1  
spcu| Monthly| ms1  
spcu| Home Equity| mc1  
sscu| Monthly| ms1  
sscu| Visa| mv1  
sscu| Mortgage| ml1  
sscu| HELOC| me2  
sucu| Monthly| ms1  
svbt| Monthly| ms1  
tfcu| consumer loan| me6  
tfcu| Visa| mv2  
tfcu| Monthly| ms1  
tfcu| Business| ms2  
tfcu| HELOC| me2  
tfcu| CLOC| me4  
tfcu| PLOC| me1  
tfcu| Solar Loan| me5  
tkcu| Monthly| ms1  
tpbk| Monthly| ms1  
trsb| SAVINGS| ms1  
trsb| Non Retirement| td1  
trsb| Reg E| ds2  
trsb| DDA| ds1  
trsb| Retirement| ms3  
uccu| Visa| mv1  
uccu| Visa Business| mv2  
uccu| Monthly| ms1  
uccu| Home Equity| me1  
uhcu| Monthly| ms1  
utcu| DNA Monthly| ms2  
utcu| DNA Visa| mv2  
vwcu| Monthly| ms1  
wash| Account Analysis| aa1  
wash| Loans| ml1  
wash| DDA| ds1  
wash| IRA| ir1  
wecu| Monthly| ms1  
wecu| Visa| mv1  
wfcu| Visa| mv1  
wfcu| Monthly| ms1  
wfcu| Business| ms3  
whcu| DDA| ds1  
wtcu| Monthly| ms1  
wtcu| Visa| mv1  
  
| IRA| ms3  
  
| DDA| ms1  
  
| Loan Bill| ml1  
  
| Reg E| ms4  
  
| CML Loan| ml4  
  
| Visa| mv1  
  
| LOC| ml3  
  
| SAVINGS| ms2  
  
| Monthly| ms1  
  
  

JID is created but not used

CID| Application Name| JID  
---|---|---  
dccu| LOC| ml3  
dccu| Loan Bill| ml1  
demo| Monthly| ms1  
demo| Monthly| ms1  
fnbk| Comm Loans| mla  
prcu| Application Code| ms1  
sefc| Monthly| ms1  
sfce| Monthly| ms1  
sscu| MasterCard| mv2  
trsb| Non Retirement| td1  
utcu| Monthly| ms1  
utcu| Visa| mv1  
wash| Comm Loans| mla  
  
  


